time_step,best_bid,best_ask,assets,ema_swim_bid,cash,total_profit
274,2.3973,2.3974,0,49.28104999999999,2.398115223343989,1.000022321451219
275,2.3972,2.3973,0,49.28104999999999,2.397932178675191,1.000022321451219
276,2.3983,2.3984,0,49.28104999999999,2.3979452523802394,1.000022321451219
277,2.3974,2.3975,0,49.28104999999999,2.397941209026566,1.000022321451219
278,2.3966,2.3967,0,49.28104999999999,2.397854409966917,1.000022321451219
279,2.3965,2.3966,0,49.28104999999999,2.3971772049834588,1.000022321451219
280,2.3968,2.3969,0,49.28104999999999,2.397244325501338,1.000022321451219
281,2.3971,2.3972,0,49.28104999999999,2.397263036894935,1.000022321451219
282,2.3971,2.3972,0,49.28104999999999,2.397263315629867,1.000022321451219
283,2.397,2.3971,0,49.28104999999999,2.3972514892725085,1.000022321451219
284,2.3974,2.3975,0,49.28104999999999,2.3972512759692197,1.000022321451219
285,2.3974,2.3975,0,49.28104999999999,2.3972538316997647,1.000022321451219
286,2.3978,2.3979,0,49.28104999999999,2.397283362399188,1.000022321451219
287,2.3978,2.3979,0,49.28104999999999,2.3973203442999163,1.000022321451219
288,2.3977,2.3978,0,49.28104999999999,2.397355330504882,1.000022321451219
289,2.3977,2.3978,0,49.28104999999999,2.3973875427754434,1.000022321451219
290,2.3975,2.3976,0,49.28104999999999,2.397398666494766,1.000022321451219
291,2.398,2.3981,0,49.28104999999999,2.39743433273659,1.000022321451219
292,2.3979,2.398,0,49.28104999999999,2.397467271897744,1.000022321451219
293,2.3979,2.398,0,49.28104999999999,2.3974993224541907,1.000022321451219
294,2.3987,2.3988,0,49.28104999999999,2.397654824732145,1.000022321451219
295,2.3959,2.396,0,49.28104999999999,2.3967774123660726,1.000022321451219
296,2.3959,2.396,0,49.28104999999999,2.3963387061830366,1.000022321451219
297,2.3964,2.3965,0,49.28104999999999,2.396369353091518,1.000022321451219
298,2.3958,2.3959,0,49.28104999999999,2.396560454303817,1.000022321451219
299,2.3959,2.396,0,49.28104999999999,2.3963403028692114,1.000022321451219
300,2.3952,2.3953,0,49.28104999999999,2.3963735216656117,1.000022321451219
301,2.395,2.3951,0,49.28104999999999,2.395824112999367,1.000022321451219
302,2.3944,2.3945,0,49.28104999999999,2.3951120564996833,1.000022321451219
303,2.3943,2.3944,0,49.28104999999999,2.3947872338998097,1.000022321451219
304,2.3941,2.3942,0,49.28104999999999,2.3945581559332068,1.000022321451219
305,2.3944,2.3945,0,49.28104999999999,2.394512968523719,1.000022321451219
306,2.3945,2.3946,0,49.28104999999999,2.394638151078402,1.000022321451219
307,2.3943,2.3944,0,49.28104999999999,2.3946927698020306,1.000022321451219
308,2.3949,2.395,0,49.28104999999999,2.394725117532186,1.000022321451219
309,2.3953,2.3954,0,49.28104999999999,2.3948040694349926,1.000022321451219
310,2.3951,2.3952,0,49.28104999999999,2.3948302122321423,1.000022321451219
311,2.3958,2.3959,0,49.28104999999999,2.394952077198753,1.000022321451219
312,2.3958,2.3959,0,49.28104999999999,2.3950533203094118,1.000022321451219
313,2.3958,2.3959,0,49.28104999999999,2.395139443306114,1.000022321451219
314,2.3959,2.396,0,49.28104999999999,2.3952180542336947,1.000022321451219
315,2.396,2.3961,0,49.28104999999999,2.3952925266898015,1.000022321451219
316,2.396,2.3961,0,49.28104999999999,2.3953609053986704,1.000022321451219
317,2.3961,2.3962,0,49.28104999999999,2.395432538539069,1.000022321451219
318,2.3952,2.3953,0,49.28104999999999,2.395450007266145,1.000022321451219
319,2.3958,2.3959,0,49.28104999999999,2.395481785880195,1.000022321451219
320,2.3965,2.3966,0,49.28104999999999,2.39554144653532,1.000022321451219
321,2.3965,2.3966,0,49.28104999999999,2.3957384176017715,1.000022321451219
322,2.3969,2.397,0,49.28104999999999,2.395887359579754,1.000022321451219
323,2.3976,2.3977,0,49.28104999999999,2.3960850322176905,1.000022321451219
324,2.3976,2.3977,0,49.28104999999999,2.3965900214784606,1.000022321451219
325,2.3976,2.3977,0,49.28104999999999,2.396878586770329,1.000022321451219
326,2.3977,2.3978,0,49.28104999999999,2.397152391180219,1.000022321451219
327,2.3984,2.3985,0,49.28104999999999,2.397173030307258,1.000022321451219
328,2.3981,2.3982,0,49.28104999999999,2.3974378787908988,1.000022321451219
329,2.398,2.3981,0,49.28104999999999,2.3974492206821187,1.000022321451219
330,2.398,2.3981,0,49.28104999999999,2.397475744831377,1.000022321451219
331,2.3983,2.3984,0,49.28104999999999,2.3975230790079323,1.000022321451219
332,2.3983,2.3984,0,49.28104999999999,2.397576928137521,1.000022321451219
333,2.3978,2.3979,0,49.28104999999999,2.3976136698644206,1.000022321451219
334,2.3984,2.3985,0,49.28104999999999,2.3976611016931293,1.000022321451219
335,2.3985,2.3986,0,49.28104999999999,2.397713383149426,1.000022321451219
336,2.3985,2.3986,0,49.28104999999999,2.3977666732384098,1.000022321451219
337,2.3987,2.3988,0,49.28104999999999,2.3978233110080547,1.000022321451219
338,2.3993,2.3994,0,49.28104999999999,2.398020933961736,1.000022321451219
339,2.4009,2.401,0,49.28104999999999,2.3984443587454995,1.000022321451219
340,2.4007,2.4008,0,49.28104999999999,2.3995721793727496,1.000022321451219
341,2.4002,2.4003,0,49.28104999999999,2.3998233076236497,1.000022321451219
342,2.4003,2.4004,0,49.28104999999999,2.3999822050824333,1.000022321451219
343,2.4007,2.4008,0,49.28104999999999,2.399907662431057,1.000022321451219
344,2.4009,2.401,0,49.28104999999999,2.400191187450755,1.000022321451219
345,2.401,2.4011,0,49.28104999999999,2.400393390588066,1.000022321451219
346,2.4015,2.4016,0,49.28104999999999,2.4008360343528397,1.000022321451219
347,2.4016,2.4017,0,49.28104999999999,2.40109068956856,1.000022321451219
348,2.4019,2.402,0,49.28104999999999,2.4013604597123734,1.000022321451219
349,2.4023,2.4024,0,49.28104999999999,2.401736275827424,1.000022321451219
350,2.4023,2.4024,0,49.28104999999999,2.401924183884949,1.000022321451219
351,2.4017,2.4018,0,49.28104999999999,2.4018187412600485,1.000022321451219
352,2.4017,2.4018,0,49.28104999999999,2.4017520732101882,1.000022321451219
353,2.4021,2.4022,0,49.28104999999999,2.4017156331658303,1.000022321451219
354,2.4017,2.4018,0,49.28104999999999,2.4016968484395567,1.000022321451219
355,2.4018,2.4019,0,49.28104999999999,2.4016874518054054,1.000022321451219
356,2.4018,2.4019,0,49.28104999999999,2.4016840297223143,1.000022321451219
357,2.4021,2.4022,0,49.28104999999999,2.401692234250815,1.000022321451219
358,2.4022,2.4023,0,49.28104999999999,2.4017111767967556,1.000022321451219
359,2.4024,2.4025,0,49.28104999999999,2.4017402742984197,1.000022321451219
360,2.403,2.4031,0,49.28104999999999,2.4018937890348013,1.000022321451219
361,2.4031,2.4032,0,49.28104999999999,2.402295859356534,1.000022321451219
362,2.4031,2.4032,0,49.28104999999999,2.4025256138260955,1.000022321451219
363,2.4031,2.4032,0,49.28104999999999,2.402535577869685,1.000022321451219
364,2.4025,2.4026,0,49.28104999999999,2.4025373767191174,1.000022321451219
365,2.4018,2.4019,0,49.28104999999999,2.4024769655084706,1.000022321451219
366,2.4025,2.4026,0,49.28104999999999,2.4024728528480344,1.000022321451219
367,2.4031,2.4032,0,49.28104999999999,2.402486249133863,1.000022321451219
368,2.403,2.4031,0,49.28104999999999,2.402560355251797,1.000022321451219
369,2.4032,2.4033,0,49.28104999999999,2.4026311277811723,1.000022321451219
370,2.4026,2.4027,0,49.28104999999999,2.402637373750293,1.000022321451219
371,2.4024,2.4025,1,46.87854999999999,2.4026387193204233,1.0000202922283807
372,2.4027,2.4028,0,49.28124999999999,2.402640564020752,1.0000263798968951
373,2.4032,2.4033,0,49.28124999999999,2.402667359995409,1.0000263798968951
374,2.4036,2.4037,0,49.28124999999999,2.402790512414085,1.0000263798968951
375,2.4037,2.4038,0,49.28124999999999,2.402896961393718,1.0000263798968951
376,2.4038,2.4039,0,49.28124999999999,2.40299523831607,1.0000263798968951
377,2.4038,2.4039,0,49.28124999999999,2.4030829917698413,1.0000263798968951
378,2.4045,2.4046,0,49.28124999999999,2.4032287029568162,1.0000263798968951
379,2.404,2.4041,0,49.28124999999999,2.4033233710352686,1.0000263798968951
380,2.4039,2.404,0,49.28124999999999,2.4033983063089592,1.0000263798968951
381,2.4034,2.4035,0,49.28124999999999,2.403423588111134,1.0000263798968951
382,2.4035,2.4036,0,49.28124999999999,2.4034423693780482,1.0000263798968951
383,2.4042,2.4043,0,49.28124999999999,2.4034858165365596,1.0000263798968951
384,2.4045,2.4046,0,49.28124999999999,2.403546172431406,1.0000263798968951
385,2.4051,2.4052,0,49.28124999999999,2.4038108847225557,1.0000263798968951
386,2.4054,2.4055,0,49.28124999999999,2.404605442361278,1.0000263798968951
387,2.4054,2.4055,0,49.28124999999999,2.404923265416767,1.0000263798968951
388,2.4054,2.4055,0,49.28124999999999,2.4050821769445117,1.0000263798968951
389,2.4059,2.406,0,49.28124999999999,2.4050205882406965,1.0000263798968951
390,2.4059,2.406,0,49.28124999999999,2.4052718487433546,1.0000263798968951
391,2.4059,2.406,0,49.28124999999999,2.405428886557516,1.0000263798968951
392,2.4066,2.4067,0,49.28124999999999,2.4054485903859906,1.0000263798968951
393,2.4067,2.4068,0,49.28124999999999,2.405865726923994,1.0000263798968951
394,2.4065,2.4066,0,49.28124999999999,2.405992581539195,1.0000263798968951
395,2.4064,2.4065,0,49.28124999999999,2.405984199939462,1.0000263798968951
396,2.4064,2.4065,0,49.28124999999999,2.405991656686915,1.0000263798968951
397,2.4064,2.4065,0,49.28124999999999,2.4060077719353283,1.0000263798968951
398,2.406,2.4061,0,49.28124999999999,2.406017252673823,1.0000263798968951
399,2.4057,2.4058,0,49.28124999999999,2.406016344922167,1.0000263798968951
400,2.4057,2.4058,0,49.28124999999999,2.4060089665457105,1.0000263798968951
401,2.4044,2.4045,0,49.28124999999999,2.4058400586592463,1.0000263798968951
402,2.4049,2.405,0,49.28124999999999,2.405526705772831,1.0000263798968951
403,2.4052,2.4053,0,49.28124999999999,2.40551072422403,1.0000263798968951
404,2.4055,2.4056,0,49.28124999999999,2.4055049509922712,1.0000263798968951
405,2.4052,2.4053,0,49.28124999999999,2.4054873813475504,1.0000263798968951
406,2.4057,2.4058,0,49.28124999999999,2.40548349630198,1.0000263798968951
407,2.4057,2.4058,0,49.28124999999999,2.40549292686239,1.0000263798968951
408,2.4056,2.4057,0,49.28124999999999,2.405502616268855,1.0000263798968951
