timestamp,best_bid,best_ask
2025-02-06 19:16:46.789036,2.3215,2.3216
2025-02-06 19:16:48.102324,2.3225,2.3226
2025-02-06 19:16:49.415552,2.3236,2.3237
2025-02-06 19:16:50.727584,2.3235,2.3236
2025-02-06 19:16:52.041263,2.3219,2.322
2025-02-06 19:16:53.353964,2.3211,2.3212
2025-02-06 19:16:54.669125,2.3207,2.3208
2025-02-06 19:16:55.981155,2.3207,2.3208
2025-02-06 19:16:57.293843,2.3226,2.3227
2025-02-06 19:16:58.606373,2.3228,2.3229
2025-02-06 19:16:59.918670,2.322,2.3221
2025-02-06 19:17:01.325607,2.3218,2.3219
2025-02-06 19:17:02.682552,2.3215,2.3216
2025-02-06 19:17:04.016460,2.3223,2.3224
2025-02-06 19:17:05.331509,2.3216,2.3217
2025-02-06 19:17:06.646207,2.3214,2.3215
2025-02-06 19:17:07.962430,2.3191,2.3192
2025-02-06 19:17:09.275276,2.3176,2.3177
2025-02-06 19:17:10.589336,2.3182,2.3183
2025-02-06 19:17:11.901953,2.3181,2.3182
2025-02-06 19:17:13.216926,2.3176,2.3177
2025-02-06 19:17:14.529707,2.3169,2.317
2025-02-06 19:17:15.844551,2.3175,2.3176
2025-02-06 19:17:17.159319,2.3164,2.3165
2025-02-06 19:17:18.471742,2.3155,2.3156
2025-02-06 19:17:19.785418,2.3154,2.3155
2025-02-06 19:17:21.099606,2.3168,2.3169
2025-02-06 19:17:22.415198,2.3162,2.3163
2025-02-06 19:17:23.726722,2.3163,2.3164
2025-02-06 19:17:25.048803,2.3168,2.3169
2025-02-06 19:17:26.360972,2.3169,2.317
2025-02-06 19:17:27.675932,2.3168,2.3169
2025-02-06 19:17:28.989986,2.3158,2.3159
2025-02-06 19:17:30.307734,2.3156,2.3157
2025-02-06 19:17:31.627128,2.3157,2.3158
2025-02-06 19:17:32.943564,2.3145,2.3146
2025-02-06 19:17:34.258406,2.314,2.3141
2025-02-06 19:17:35.577257,2.3139,2.314
2025-02-06 19:17:36.888572,2.3142,2.3143
2025-02-06 19:17:38.203560,2.3136,2.3137
2025-02-06 19:17:39.517104,2.3129,2.313
2025-02-06 19:17:40.830160,2.3121,2.3122
2025-02-06 19:17:42.144005,2.3128,2.3129
2025-02-06 19:17:43.460399,2.3132,2.3133
2025-02-06 19:17:44.772083,2.3132,2.3133
2025-02-06 19:17:46.084490,2.3132,2.3133
2025-02-06 19:17:47.418576,2.3137,2.3138
2025-02-06 19:17:48.735392,2.3171,2.3172
2025-02-06 19:17:50.051033,2.3163,2.3164
2025-02-06 19:17:51.366484,2.3155,2.3156
2025-02-06 19:17:52.684191,2.313,2.3131
2025-02-06 19:17:54.002174,2.313,2.3131
2025-02-06 19:17:55.317424,2.313,2.3131
2025-02-06 19:17:57.083655,2.3128,2.3129
